order_id,customer_id,customer_name,order_date,product_id,product_name,quantity,unit_price,discount%,total_price,payment_method,store_location,customer_email,phone_number,loyalty_status
2033,CUST-423,"Khan, Erik",2023-03-10,PROD-067,FITNESS TRACKER,4,$49.5,28,$142.56,Debit Card,"Dallas, TX",stacyryan@example.com,8336323254,New
1526,CUST-199,Tim Vasquez,02/13/2023,PROD-156,wireless earbuds,2,$79.99,26,118.39,PayPal,"Phoenix, AZ",mistyalvarez@example.org,2722254083,Gold
1960,CUST-068,Mallory Kelly,03/08/2023,PROD-134,Screen Protector,8,9.99,19,64.74,Debit Card,"Houston, TX",,(555) 516-3133,Gold
1898,CUST-066,"Martin, Matthew",2023-03-25,PROD-112,Smart Watch,4,129.99,21,410.77,PayPal,"Phoenix, AZ",,8957437314,Bronze
2303,CUST-047,"Ortiz, Alexandra",10/07/23,PROD-078,bluetooth speaker,4,34.95,13,121.63,Cash,"Houston, TX",john63@example.org,3635351952,New
1195,CUST-270,"Russell, Kathleen",14-10-2023,PROD-067,Fitness Tracker,3,$49.5,N/A,148.5,Debit Card,"Los Angeles, CA",anthony38@example.org,(867) 908-8089,New
2747,CUST-216,"Townsend, Michael",11-10-2023,PROD-112,smart watch,3,$129.99,21%,389.97,Debit Card,"Chicago, IL",taylorsmith@example.org,(726) 668-1326,New
2561,CUST-369,"Jackson, Tara",06-19-2023,PROD-123,Phone Case,3,19.99,21,47.38,Cash,"Chicago, IL",maxwellkelley@example.com,9729504476,Bronze
2311,CUST-298,"Deleon, Joseph",2023-11-07,PROD-089,TABLET STAND,2,$24.99,28,35.99,Cash,"New York, NY",benjaminberry@example.net,(969) 728-1721,New
1025,CUST-203,Matthew Gray,2023-01-24,PROD-123,phone case,3,$19.99,25,44.98,Debit Card,"Philadelphia, PA",,5934934229,Bronze
2454,CUST-230,"Snow, Robert",02-03-2023,PROD-156,WirelessEarbuds,2,79.99,15,135.98,PayPal,"San Diego, CA",,7225425406,
1074,CUST-059,"Mcintyre, Shawn",12/30/23,PROD-156,Wireless Earbuds,1,79.99,0,$79.99,Cash,"San Jose, CA",orussell@example.com,(303) 958-1687,
1156,CUST-191,"Brooks, Anthony",05/20/23,PROD-156,wireless earbuds,2,79.99,15,$135.98,Debit Card,"Dallas, TX",,(537) 769-9101,Silver
2478,CUST-130,"Maldonado, William",05/22/2023,PROD-123,Phone Case,2,$19.99,20,31.98,Credit Card,"Phoenix, AZ",wgray@example.net,(746) 673-3721,
2435,CUST-227,Kristen Davila,06/12/2023,PROD-067,Fitness Tracker,3,$49.5,2,145.53,Cash,"Houston, TX",,8329722690,Gold
1402,CUST-423,"Khan, Erik",2023-02-07,PROD-145,Portable Charger,5,$29.99,N/A,$149.95,Debit Card,"New York, NY",stacyryan@example.com,8336323254,New
2618,CUST-495,"Banks, Jill",05-03-2023,PROD-123,Phone Case,3,19.99,2,58.77,Credit Card,"Houston, TX",,(747) 374-2244,Silver
1875,CUST-449,"Petty, Charlotte",04/20/23,PROD-112,smart watch,5,129.99,7,604.45,Credit Card,"New York, NY",kennethrandall@example.com,(482) 822-6891,Gold
1396,CUST-428,"Brennan, Henry",05-12-2023,PROD-145,portable charger,19,29.99,6,$535.62,Credit Card,"Philadelphia, PA",guerraamanda@example.org,(664) 930-7761,
1187,CUST-274,"Jones, Tammy",10/01/23,PROD-078,Bluetooth Speaker,5,34.95,17,145.04,Debit Card,"Houston, TX",hortonjennifer@example.com,(841) 224-6972,
2304,CUST-496,"Smith, Stephanie",11/14/23,PROD-134,Screen Protector,4,$9.99,N/A,$39.96,Credit Card,"Chicago, IL",pvaughn@example.net,(588) 383-1697,
1864,CUST-119,"Davis, Christopher",22/06/2023,PROD-102,usb-c cable,4,12.99,9%,$51.96,Debit Card,"Phoenix, AZ",,(364) 228-6208,
1695,CUST-376,"Anderson, Meghan",2023-02-17,PROD-123,Phone Case,1,19.99,4,$19.19,Debit Card,"Phoenix, AZ",kelleylevi@example.net,4627173724,Silver
2626,CUST-054,"Ramos, Stacy",07/05/23,PROD-134,Screen Protector,1,9.99,5,$9.49,Credit Card,"Phoenix, AZ",,(266) 479-7599,Gold
1228,CUST-194,"Cruz, Ryan",12-01-2023,PROD-089,Tablet Stand,1,24.99,2,$24.49,Credit Card,"San Diego, CA",rwilson@example.com,8503933849,
2562,CUST-071,"Hodge, Desiree",01/03/2023,PROD-045,Wireless Headphones,5,$59.99,17,$248.96,Debit Card,"San Diego, CA",,2743988507,Bronze
2161,CUST-221,Matthew Russell,03/02/2023,PROD-045,WirelessHeadphones,1,$59.99,7,$55.79,Credit Card,"San Jose, CA",,(362) 615-6869,Silver
1290,CUST-405,Aaron Flowers,03-12-2023,PROD-112,smart watch,5,$129.99,N/A,649.95,PayPal,"New York, NY",fcurry@example.com,4382774795,
1446,CUST-015,"Velazquez, Maria",09/01/2023,PROD-112,Smart Watch,4,129.99,0,519.96,Cash,"Dallas, TX",christophergriffin@example.org,4107127404,Silver
1909,CUST-263,"Torres, Jason",25/03/2023,PROD-145,portable charger,3,$29.99,13%,$89.97,PayPal,"Houston, TX",ruben82@example.org,8503846088,New
2201,CUST-033,"Chambers, Susan",2023-12-26,PROD-089,Tablet Stand,4,$24.99,6,$93.96,Cash,"San Jose, CA",amanda29@example.org,4509315938,Silver
1620,CUST-381,"Jenkins, Nicholas",11/17/23,PROD-089,tablet stand,3,24.99,7,$69.72,PayPal,"Houston, TX",rhonda78@example.com,5562932448,Silver
2746,CUST-481,"Smith, Richard",06/22/23,PROD-156,wireless earbuds,2,79.99,6,150.38,Credit Card,"San Antonio, TX",nicole77@example.net,(209) 554-3586,Gold
2087,CUST-268,"Greene, Joyce",06/03/2023,PROD-078,Bluetooth Speaker,1,$34.95,N/A,34.95,Credit Card,"San Antonio, TX",jason44@example.net,4585258102,
1577,CUST-121,"Pierce, Madeline",2023-04-24,PROD-112,Smart Watch,5,$129.99,27,$474.46,PayPal,"Phoenix, AZ",vhernandez@example.org,7458569970,Bronze
2307,CUST-440,"Hernandez, Erica",19-02-2023,PROD-156,Wireless Earbuds,3,$79.99,26,177.58,Cash,"Phoenix, AZ",savagejamie@example.net,(898) 307-3441,Silver
1375,CUST-384,"Smith, Brenda",04-16-2023,PROD-089,Tablet Stand,5,$24.99,8,114.95,Credit Card,"Phoenix, AZ",rachel90@example.com,(977) 681-5356,Silver
1967,CUST-293,Matthew Wilson,23/09/2023,PROD-102,USB-C Cable,2,12.99,26%,25.98,Cash,"San Diego, CA",morgancobb@example.net,(909) 806-6600,Silver
1971,CUST-347,"Horton, Ebony",02/24/2023,PROD-156,Wireless Earbuds,2,$79.99,14,137.58,Cash,"San Antonio, TX",bcastillo@example.org,(757) 996-7450,Gold
2922,CUST-049,"Burton, Elizabeth",2023-10-21,PROD-045,Wireless Headphones,4,59.99,12,211.16,PayPal,"Philadelphia, PA",jacquelinemendoza@example.net,(642) 518-8108,
2294,CUST-308,Lydia Jones,06/14/2023,PROD-145,Portable Charger,2,$29.99,19,$48.58,Cash,"San Jose, CA",fisherdanielle@example.net,8862635899,
2450,CUST-020,"Smith, Benjamin",18/04/2023,PROD-156,Wireless Earbuds,3,79.99,26,177.58,Credit Card,"Chicago, IL",kyle82@example.org,6204372496,
1838,CUST-194,"Cruz, Ryan",05/31/23,PROD-045,WIRELESS HEADPHONES,2,$59.99,23,92.38,PayPal,"Houston, TX",rwilson@example.com,8503933849,
1391,CUST-012,"Tran, Edward",04/30/2023,PROD-123,Phone Case,5,19.99,N/A,$99.95,Cash,"Philadelphia, PA",kayla66@example.org,9727369862,Gold
1533,CUST-496,"Smith, Stephanie",23-03-2023,PROD-067,Fitness Tracker,4,49.5,5%,$198.0,PayPal,"New York, NY",pvaughn@example.net,(588) 383-1697,
1018,CUST-366,"Harrington, Nicole",12-02-2023,PROD-045,Wireless Headphones,3,$59.99,30,125.98,Cash,"San Jose, CA",ngreen@example.net,(502) 820-8959,New
1427,CUST-230,"Snow, Robert",30/08/2023,PROD-156,Wireless Earbuds,1,79.99,2,$78.39,Credit Card,"San Jose, CA",,7225425406,
1970,CUST-262,Cynthia Johnson,05/04/2023,PROD-078,Bluetooth Speaker,2,$34.95,19%,$69.9,Debit Card,"Houston, TX",,9032711641,New
2400,CUST-326,"Martinez, Drew",2023-07-20,PROD-123,Phone Case,2,$19.99,21,31.58,Cash,"San Jose, CA",devans@example.org,(508) 355-6023,Gold
2023,CUST-427,Kathleen Smith,17-04-2023,PROD-078,Bluetooth Speaker,4,34.95,23,$107.65,Credit Card,"Los Angeles, CA",joconnell@example.net,(527) 883-9366,Bronze
1091,CUST-152,Caitlin Morales,2023-04-08,PROD-134,screen protector,1,$9.99,11,8.89,Cash,"Dallas, TX",tsimmons@example.com,(780) 471-6605,
2317,CUST-070,"Richards, Joseph",04/04/2023,PROD-156,wireless earbuds,5,$79.99,28,$287.96,Credit Card,"San Diego, CA",omarquez@example.org,7204455089,Gold
2914,CUST-307,"Rodriguez, Mark",06/29/23,PROD-102,usb-c cable,3,$12.99,11,34.68,PayPal,"Chicago, IL",ydavis@example.com,(899) 789-7834,New
2139,CUST-478,"Craig, Ricardo",01-12-2023,PROD-067,Fitness Tracker,2,$49.5,3,$96.03,Credit Card,"San Antonio, TX",cheath@example.org,(244) 336-9587,
2000,CUST-470,John Richardson,2023-06-14,PROD-045,Wireless Headphones,2,59.99,18,$98.38,Credit Card,"New York, NY",edward01@example.net,(638) 353-7690,Silver
2414,CUST-269,"Hunter, Steven",22/07/2023,PROD-078,Bluetooth Speaker,2,$34.95,18,57.32,Credit Card,"New York, NY",hardymelanie@example.org,7589108033,Bronze
2018,CUST-053,"Booth, Yolanda",11/10/23,PROD-156,wireless earbuds,6,79.99,27,$350.36,PayPal,"San Jose, CA",richardpayne@example.com,4508109767,
1154,CUST-444,"Mitchell, Jacqueline",27/03/2023,PROD-145,Portable Charger,2,$29.99,17,49.78,PayPal,"Houston, TX",coopertara@example.com,(340) 909-7224,Silver
1039,CUST-068,Mallory Kelly,04/05/23,PROD-134,Screen Protector,4,$9.99,11,35.56,Cash,"Chicago, IL",,(555) 516-3133,Gold
1856,CUST-195,Brandon Rodriguez,07-03-2023,PROD-145,PORTABLE CHARGER,3,29.99,0,89.97,Credit Card,"Philadelphia, PA",baileyrichard@example.net,(835) 485-1014,
1919,CUST-388,"Jackson, Daniel",2023-01-02,PROD-156,Wireless Earbuds,5,$79.99,N/A,399.95,Credit Card,"Philadelphia, PA",,(438) 576-7904,Gold
1324,CUST-385,"Adams, Daniel",10/09/2023,PROD-156,WIRELESS EARBUDS,5,$79.99,1,$395.95,Cash,"Los Angeles, CA",,(477) 466-3511,Bronze
1451,CUST-435,Taylor Jordan,06-04-2023,PROD-134,Screen Protector,2,$9.99,12,$17.58,Debit Card,"Los Angeles, CA",wadelisa@example.com,(990) 375-9980,New
1851,CUST-127,Carol Chung,31-07-2023,PROD-078,Bluetooth Speaker,1,$34.95,1,34.6,Credit Card,"New York, NY",wheelerpatrick@example.com,8829999238,Gold
2904,CUST-011,"Vargas, Melissa",16-09-2023,PROD-134,Screen Protector,2,$9.99,12,$17.58,Cash,"Dallas, TX",pattersonkelly@example.org,7337574355,
1173,CUST-202,"Boyer, Scott",10/22/23,PROD-089,Tablet Stand,3,$24.99,21,$59.23,Cash,"Philadelphia, PA",tamaralin@example.com,(999) 982-2750,Bronze
1150,CUST-255,"Cooper, Johnny",01-28-2023,PROD-067,Fitness Tracker,5,$49.5,N/A,247.5,Debit Card,"Dallas, TX",millersherry@example.com,(860) 651-1380,New
1456,CUST-149,"Wright, Tommy",03/19/2023,PROD-078,Bluetooth Speaker,3,$34.95,24,$79.69,Credit Card,"Dallas, TX",jeromeallen@example.com,8392545978,
1926,CUST-033,"Chambers, Susan",06-25-2023,PROD-145,Portable Charger,2,29.99,14%,$59.98,Debit Card,"Philadelphia, PA",amanda29@example.org,4509315938,Silver
1081,CUST-310,"Scott, Jeffrey",28/03/2023,PROD-045,Wireless Headphones,3,59.99,11,$160.17,PayPal,"Philadelphia, PA",rivasjennifer@example.net,(419) 386-6150,
2805,CUST-172,"Cook, Carla",10/14/23,PROD-134,Screen Protector,5,9.99,23%,$49.95,Credit Card,"Chicago, IL",alyssahall@example.org,2654965307,Silver
